,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
23,23,23,2011-12-01,GOLDENTOBC,45.0,47.20000076293945,29.100000381469727,30.549999237060547,113461,13.194794046738242
24,24,24,2012-01-01,GOLDENTOBC,31.850000381469727,40.0,29.14999961853028,34.45000076293945,526602,17.135575821999506
25,25,25,2012-02-01,GOLDENTOBC,34.75,46.70000076293945,32.599998474121094,37.5,1714558,20.187184780738843
26,26,26,2012-03-01,GOLDENTOBC,37.54999923706055,39.0,33.349998474121094,34.95000076293945,161015,19.53930434575183
27,27,27,2012-04-01,GOLDENTOBC,35.900001525878906,39.5,33.0,34.45000076293945,271097,19.407778960883203
28,28,28,2012-05-01,GOLDENTOBC,35.0,35.0,29.75,31.25,79091,18.54728923505325
29,29,29,2012-06-01,GOLDENTOBC,31.5,35.150001525878906,30.5,33.150001525878906,81830,20.792839836298576
30,30,30,2012-07-01,GOLDENTOBC,33.79999923706055,37.79999923706055,32.0,33.75,140677,21.528555211090282
31,31,31,2012-08-01,GOLDENTOBC,34.900001525878906,37.0,31.600000381469727,33.0,72941,21.262691278997924
32,32,32,2012-09-01,GOLDENTOBC,34.95000076293945,37.650001525878906,31.0,34.349998474121094,173556,23.10349646452435
33,33,33,2012-10-01,GOLDENTOBC,35.400001525878906,35.5,32.45000076293945,33.0,53044,22.53609479809318
34,34,34,2012-11-01,GOLDENTOBC,33.0,39.84999847412109,32.29999923706055,33.400001525878906,292047,23.138425811367362
35,35,35,2012-12-01,GOLDENTOBC,33.0,35.20000076293945,30.5,31.049999237060547,120066,22.053488950560187
36,36,36,2013-01-01,GOLDENTOBC,30.799999237060547,34.849998474121094,29.200000762939453,33.0,160497,25.18816137448527
37,37,37,2013-02-01,GOLDENTOBC,33.900001525878906,34.849998474121094,31.100000381469727,31.39999961853028,111806,24.32379703349276
38,38,38,2013-03-01,GOLDENTOBC,32.650001525878906,32.650001525878906,19.89999961853028,22.799999237060547,73392,20.292854675828426
39,39,39,2013-04-01,GOLDENTOBC,23.200000762939453,26.850000381469727,22.25,24.5,23143,23.00898492142762
40,40,40,2013-05-01,GOLDENTOBC,24.5,27.950000762939453,23.0,24.700000762939453,128895,23.339955677294665
41,41,41,2013-06-01,GOLDENTOBC,24.049999237060547,32.099998474121094,23.350000381469727,26.850000381469727,103689,26.974225451335847
42,42,42,2013-07-01,GOLDENTOBC,26.350000381469727,28.799999237060547,24.299999237060547,25.799999237060547,44276,26.318023615144114
43,43,43,2013-08-01,GOLDENTOBC,26.0,26.0,19.0,19.450000762939453,32693,22.71855998049393
44,44,44,2013-09-01,GOLDENTOBC,18.5,27.350000381469727,18.25,24.700000762939453,50349,31.107839909365538
45,45,45,2013-10-01,GOLDENTOBC,23.600000381469727,24.850000381469727,18.049999237060547,19.100000381469727,11026,27.65881390429691
46,46,46,2013-11-01,GOLDENTOBC,19.0,20.5,18.549999237060547,19.049999237060547,5115,27.629357890349084
47,47,47,2013-12-01,GOLDENTOBC,19.049999237060547,21.5,18.299999237060547,21.5,7367,31.479962908383403
48,48,48,2014-01-01,GOLDENTOBC,21.450000762939453,21.950000762939453,18.299999237060547,19.549999237060547,29688,30.106913920215106
49,49,49,2014-02-01,GOLDENTOBC,18.64999961853028,20.700000762939453,18.049999237060547,18.14999961853028,18804,29.124732782822544
50,50,50,2014-03-01,GOLDENTOBC,18.049999237060547,23.89999961853028,17.0,20.89999961853028,93832,33.700117005750876
51,51,51,2014-04-01,GOLDENTOBC,21.0,29.0,20.0,25.600000381469727,168717,40.74114447437267
52,52,52,2014-05-01,GOLDENTOBC,25.600000381469727,33.75,20.700000762939453,28.75,140996,44.96003884046689
53,53,53,2014-06-01,GOLDENTOBC,28.5,31.0,26.0,27.39999961853028,81964,43.529699338643994
54,54,54,2014-07-01,GOLDENTOBC,27.299999237060547,28.39999961853028,21.0,22.39999961853028,241577,38.62811212056761
55,55,55,2014-08-01,GOLDENTOBC,23.0,28.14999961853028,21.850000381469727,23.75,236497,40.573819193211534
56,56,56,2014-09-01,GOLDENTOBC,23.450000762939453,24.200000762939453,19.549999237060547,22.64999961853028,504667,39.47562137299502
57,57,57,2014-10-01,GOLDENTOBC,22.14999961853028,28.25,20.39999961853028,27.200000762939453,450603,45.987848224502535
58,58,58,2014-11-01,GOLDENTOBC,32.0,42.900001525878906,28.25,38.34999847412109,722589,57.9329358659806
59,59,59,2014-12-01,GOLDENTOBC,40.0,64.0,34.04999923706055,58.150001525878906,2055487,70.4363997652652
60,60,60,2015-01-01,GOLDENTOBC,56.95000076293945,60.0,49.54999923706055,50.95000076293945,918573,63.092634726497955
61,61,61,2015-02-01,GOLDENTOBC,52.84999847412109,59.79999923706055,38.09999847412109,46.20000076293945,342917,58.7414078792366
62,62,62,2015-03-01,GOLDENTOBC,46.5,50.150001525878906,35.099998474121094,36.54999923706055,233023,51.040122368319416
63,63,63,2015-04-01,GOLDENTOBC,38.34999847412109,54.25,37.650001525878906,42.150001525878906,565136,54.74781664959434
64,64,64,2015-05-01,GOLDENTOBC,42.150001525878906,45.95000076293945,38.650001525878906,39.900001525878906,107691,53.0107885077421
65,65,65,2015-06-01,GOLDENTOBC,43.5,43.5,35.25,37.5,101837,51.14668002781231
66,66,66,2015-07-01,GOLDENTOBC,37.650001525878906,45.75,35.79999923706055,40.34999847412109,208526,53.24907782486592
67,67,67,2015-08-01,GOLDENTOBC,40.0,49.5,35.150001525878906,39.650001525878906,286765,52.64976516620104
68,68,68,2015-09-01,GOLDENTOBC,39.59999847412109,40.95000076293945,33.20000076293945,33.95000076293945,74463,47.92017800848867
69,69,69,2015-10-01,GOLDENTOBC,33.29999923706055,49.900001525878906,33.150001525878906,42.54999923706055,595459,54.55355733334484
70,70,70,2015-11-01,GOLDENTOBC,43.0,56.70000076293945,38.95000076293945,46.70000076293945,1437220,57.37495777179914
71,71,71,2015-12-01,GOLDENTOBC,46.04999923706055,53.79999923706055,43.20000076293945,47.04999923706055,1176373,57.61395360116289
72,72,72,2016-01-01,GOLDENTOBC,46.75,51.900001525878906,39.150001525878906,42.20000076293945,274242,53.16543882672467
73,73,73,2016-02-01,GOLDENTOBC,41.25,43.900001525878906,32.20000076293945,35.5,142360,47.68758293483875
74,74,74,2016-03-01,GOLDENTOBC,36.84999847412109,42.0,34.599998474121094,37.25,112684,49.16100126539109
