,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
1102,MANAKCOAT,Manaksia Coated Metals & Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
1103,MANAKSIA,Manaksia Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
1104,MANAKSTEEL,Manaksia Steels Limited,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
1105,MANALIPETC,Manali Petrochemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
1106,MANAPPURAM,Manappuram Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1107,MANBA,Manba Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1108,MANCREDIT,Mangal Credit and Fincorp Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1109,MANGALAM,Mangalam Drugs And Organics Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1110,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1111,MANGLMCEM,Mangalam Cement Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
1112,MANINDS,Man Industries (India) Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
1113,MANINFRA,Man Infraconstruction Limited,Industrials,Construction,Construction,Civil Construction
1114,MANKIND,Mankind Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1115,MANOMAY,Manomay Tex India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1116,MANORAMA,Manorama Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
1117,MANORG,Mangalam Organics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
1118,MANUGRAPH,Manugraph India Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
1119,MANYAVAR,Vedant Fashions Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
1120,MAPMYINDIA,C.E. Info Systems Limited,Information Technology,Information Technology,IT - Software,Software Products
1121,MARALOVER,Maral Overseas Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1122,MARATHON,Marathon Nextgen Realty Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1123,MARICO,Marico Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
1124,MARINE,Marine Electricals (India) Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
1125,MARKSANS,Marksans Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1126,MARSHALL,Marshall Machines Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
1127,MARUTI,Maruti Suzuki India Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
1128,MASFIN,MAS Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1129,MASKINVEST,Mask Investments Limited,Financial Services,Financial Services,Finance,Investment Company
1130,MASTEK,Mastek Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
1131,MASTERTR,Master Trust Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1132,MATRIMONY,Matrimony.Com Limited,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
1133,MAWANASUG,Mawana Sugars Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
1134,MAXESTATES,Max Estates Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1135,MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Healthcare,Healthcare Services,Hospital
1136,MAXIND,Max India Limited,Financial Services,Financial Services,Finance,Holding Company
1137,MAYURUNIQ,Mayur Uniquoters Ltd,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
1138,MAZDA,Mazda Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
1139,MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
1140,MBAPL,Madhya Bharat Agro Products Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1141,MBECL,Mcnally Bharat Engineering Company Limited,Industrials,Construction,Construction,Civil Construction
1142,MBLINFRA,MBL Infrastructure Limited,Industrials,Construction,Construction,Civil Construction
1143,MCL,Madhav Copper Limited,Financial Services,Financial Services,Finance,Investment Company
1144,MCLEODRUSS,Mcleod Russel India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
1145,MCX,Multi Commodity Exchange of India Limited,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
1146,MEDANTA,Global Health Limited,Healthcare,Healthcare,Healthcare Services,Hospital
1147,MEDIASSIST,Medi Assist Healthcare Services Limited,Financial Services,Financial Services,Insurance,Insurance Distributors
1148,MEDICAMEQ,Medicamen Biotech Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1149,MEDICO,Medico Remedies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1150,MEDPLUS,Medplus Health Services Limited,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail
1151,MEGASOFT,Megasoft Limited,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
1152,MEGASTAR,Megastar Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
1153,MENONBE,Menon Bearings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1154,MEP,MEP Infrastructure Developers Limited,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
1155,METROBRAND,Metro Brands Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
1156,METROPOLIS,Metropolis Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
1157,MFML,Mahalaxmi Fabric Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1158,MFSL,Max Financial Services Limited,Financial Services,Financial Services,Insurance,Life Insurance
1159,MGEL,Mangalam Global Enterprise Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
1160,MGL,Mahanagar Gas Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
1161,MHLXMIRU,Mahalaxmi Rubtech Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1162,MHRIL,Mahindra Holidays & Resorts India Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
1163,MICEL,MIC Electronics Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
1164,MIDHANI,Mishra Dhatu Nigam Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
1165,MINDACORP,Minda Corporation Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1166,MINDTECK,Mindteck (India) Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
1167,MIRCELECTR,MIRC Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
1168,MIRZAINT,Mirza International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
1169,MITCON,MITCON Consultancy & Engineering Services Limited,Services,Services,Commercial Services & Supplies,Consulting Services
1170,MITTAL,Mittal Life Style Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
1171,MKPL,M K Proteins Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
1172,MMFL,MM Forgings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1173,MMP,MMP Industries Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
1174,MMTC,MMTC Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
1175,MOBIKWIK,One Mobikwik Systems Limited,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
1176,MODIRUBBER,Modi Rubber Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
1177,MODISONLTD,MODISON LIMITED,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
1178,MODTHREAD,Modern Threads (India) Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1179,MOHITIND,Mohit Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1180,MOIL,MOIL Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
1181,MOKSH,Moksh Ornaments Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
1182,MOL,Meghmani Organics Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
1183,MOLDTECH,Mold-Tek Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1184,MOLDTKPAC,Mold-Tek Packaging Limited,Industrials,Capital Goods,Industrial Products,Packaging
1185,MONARCH,Monarch Networth Capital Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1186,MONTECARLO,Monte Carlo Fashions Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
1187,MORARJEE,Morarjee Textiles Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1188,MOREPENLAB,Morepen Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1189,MOTHERSON,Samvardhana Motherson International Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1190,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1191,MOTISONS,Motisons Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
1192,MOTOGENFIN,The Motor & General Finance Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
1193,MPHASIS,MphasiS Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
1194,MPSLTD,MPS Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
1195,MRF,MRF Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
1196,MRO-TEK,MRO-TEK Realty Limited,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
1197,MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
1198,MSPL,MSP Steel & Power Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
1199,MSTCLTD,Mstc Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
1200,MSUMI,Motherson Sumi Wiring India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1201,MTARTECH,Mtar Technologies Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
1202,MTNL,Mahanagar Telephone Nigam Limited,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
1203,MUFIN,Mufin Green Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1204,MUFTI,Credo Brands Marketing Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
1205,MUKANDLTD,Mukand Limited,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
1206,MUKKA,Mukka Proteins Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
1207,MUKTAARTS,Mukta Arts Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
1208,MUNJALAU,Munjal Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1209,MUNJALSHOW,Munjal Showa Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1210,MURUDCERA,Murudeshwar Ceramics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
1211,MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1212,MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1213,MUTHOOTMF,Muthoot Microfin Limited,Financial Services,Financial Services,Finance,Microfinance Institutions
1214,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
1215,NACLIND,NACL Industries Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
1216,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1217,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Financial Services,Financial Services,Finance,Investment Company
1218,NAGREEKEXP,Nagreeka Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1219,NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services,Financial Services,Finance,Investment Company
1220,NAHARINDUS,Nahar Industrial Enterprises Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1221,NAHARPOLY,Nahar Poly Films Limited,Industrials,Capital Goods,Industrial Products,Packaging
1222,NAHARSPING,Nahar Spinning Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1223,NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company
1224,NARMADA,Narmada Agrobase Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
1225,NATCOPHARM,Natco Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1226,NATHBIOGEN,Nath Bio-Genes (India) Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
1227,NATIONALUM,National Aluminium Company Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
1228,NAUKRI,Info Edge (India) Limited,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
1229,NAVA,NAVA LIMITED,Utilities,Power,Power,Power Generation
1230,NAVINFLUOR,Navin Fluorine International Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
1231,NAVKARCORP,Navkar Corporation Limited,Services,Services,Transport Services,Logistics Solution Provider
1232,NAVKARURB,Navkar Urbanstructure Limited,Industrials,Construction,Construction,Civil Construction
1233,NAVNETEDUL,Navneet Education Limited,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication
1234,NAZARA,Nazara Technologies Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Digital Entertainment
1235,NBCC,NBCC (India) Limited,Industrials,Construction,Construction,Civil Construction
1236,NBIFIN,N. B. I. Industrial Finance Company Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1237,NCC,NCC Limited,Industrials,Construction,Construction,Civil Construction
1238,NCLIND,NCL Industries Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
1239,NDGL,Naga Dhunseri Group Limited,Financial Services,Financial Services,Finance,Investment Company
1240,NDL,Nandan Denim Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1241,NDLVENTURE,NDL Ventures Limited,Financial Services,Financial Services,Finance,Other Financial Services
1242,NDRAUTO,Ndr Auto Components Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1243,NDTV,New Delhi Television Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
1244,NECCLTD,North Eastern Carrying Corporation Limited,Services,Services,Transport Services,Logistics Solution Provider
1245,NECLIFE,Nectar Lifesciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1246,NELCAST,Nelcast Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
1247,NELCO,NELCO Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
1248,NEOGEN,Neogen Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
1249,NESCO,Nesco Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
1250,NESTLEIND,Nestle India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
1251,NETWEB,Netweb Technologies India Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1252,NETWORK18,Network18 Media & Investments Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
1253,NEULANDLAB,Neuland Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1254,NEWGEN,Newgen Software Technologies Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
1255,NEXTMEDIA,Next Mediaworks Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
1256,NFL,National Fertilizers Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1257,NGIL,Nakoda Group of Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
1258,NGLFINE,NGL Fine-Chem Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1259,NH,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Healthcare Services,Hospital
1260,NHPC,NHPC Limited,Utilities,Power,Power,Power Generation
1261,NIACL,The New India Assurance Company Limited,Financial Services,Financial Services,Insurance,General Insurance
1262,NIBL,NRB Industrial Bearings Limited,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
1263,NIITLTD,NIIT Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
1264,NIITMTS,NIIT Learning Systems Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
1265,NILAINFRA,Nila Infrastructures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1266,NILASPACES,Nila Spaces Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1267,NILKAMAL,Nilkamal Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
1268,NINSYS,NINtec Systems Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
1269,NIPPOBATRY,Indo-National Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
1270,NIRAJ,Niraj Cement Structurals Limited,Industrials,Construction,Construction,Civil Construction
1271,NIRAJISPAT,Niraj Ispat Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
1272,NITCO,Nitco Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
1273,NITINSPIN,Nitin Spinners Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1274,NITIRAJ,Nitiraj Engineers Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
1275,NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,Financial Services,Insurance,General Insurance
1276,NKIND,NK Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
1277,NLCINDIA,NLC India Limited,Utilities,Power,Power,Power Generation
1278,NMDC,NMDC Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
1279,NOCIL,NOCIL Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
1280,NOIDATOLL,Noida Toll Bridge Company Limited,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
1281,NORBTEAEXP,Norben Tea & Exports Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
1282,NORTHARC,Northern Arc Capital Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1283,NOVAAGRI,Nova Agritech Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1284,NRAIL,N R Agarwal Industries Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
1285,NRBBEARING,NRB Bearing Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1286,NRL,Nupur Recyclers Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
1287,NSIL,Nalwa Sons Investments Limited,Financial Services,Financial Services,Finance,Investment Company
1288,NSLNISP,NMDC Steel Limited,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
1289,NTPC,NTPC Limited,Utilities,Power,Power,Power Generation
1290,NTPCGREEN,NTPC Green Energy Limited,Utilities,Power,Power,Power Generation
1291,NUCLEUS,Nucleus Software Exports Limited,Information Technology,Information Technology,IT - Software,Software Products
1292,NURECA,Nureca Limited,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
1293,NUVAMA,Nuvama Wealth Management Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1294,NUVOCO,Nuvoco Vistas Corporation Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
1295,NYKAA,FSN E-Commerce Ventures Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
1296,OAL,Oriental Aromatics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
1297,OBCL,Orissa Bengal Carrier Limited,Services,Services,Transport Services,Logistics Solution Provider
1298,OBEROIRLTY,Oberoi Realty Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1299,OCCL,Oriental Carbon & Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
1300,OCCLLTD,OCCL Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
1301,ODIGMA,Odigma Consultancy Solutions Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Web based media and service
1302,OFSS,Oracle Financial Services Software Limited,Information Technology,Information Technology,IT - Software,Software Products
1303,OIL,Oil India Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
1304,OILCOUNTUB,Oil Country Tubular Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services
1305,OLAELEC,Ola Electric Mobility Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
1306,OLECTRA,Olectra Greentech Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
1307,OMAXAUTO,Omax Autos Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
1308,OMAXE,Omaxe Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1309,OMINFRAL,OM INFRA LIMITED,Industrials,Construction,Construction,Civil Construction
1310,ONELIFECAP,Onelife Capital Advisors Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1311,ONEPOINT,One Point One Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
1312,ONESOURCE,Onesource Specialty Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1313,ONGC,Oil & Natural Gas Corporation Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
1314,ONMOBILE,OnMobile Global Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Web based media and service
1315,ONWARDTEC,Onward Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1316,OPTIEMUS,Optiemus Infracom Limited,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
1317,ORBTEXP,Orbit Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
1318,ORCHPHARMA,Orchid Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1319,ORICONENT,Oricon Enterprises Limited,Industrials,Capital Goods,Industrial Products,Packaging
1320,ORIENTALTL,Oriental Trimex Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
1321,ORIENTBELL,Orient Bell Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
1322,ORIENTCEM,Orient Cement Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
1323,ORIENTCER,ORIENT CERATECH LIMITED,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
1324,ORIENTELEC,Orient Electric Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
1325,ORIENTHOT,Oriental Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
1326,ORIENTLTD,Orient Press Limited,Industrials,Capital Goods,Industrial Products,Packaging
1327,ORIENTPPR,Orient Paper & Industries Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
1328,ORIENTTECH,Orient Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1329,ORISSAMINE,The Orissa Minerals Development Company Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
1330,ORTINGLOBE,ORTIN GLOBAL LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1331,OSIAHYPER,Osia Hyper Retail Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
1332,OSWALAGRO,Oswal Agro Mills Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
1333,OSWALGREEN,Oswal Greentech Limited,Financial Services,Financial Services,Finance,Investment Company
1334,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
1335,PAGEIND,Page Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
1336,PAISALO,Paisalo Digital Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
1337,PAKKA,PAKKA LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
1338,PALASHSECU,Palash Securities Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
1339,PALREDTEC,Palred Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1340,PANACEABIO,Panacea Biotec Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1341,PANACHE,Panache Digilife Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
1342,PANAMAPET,Panama Petrochem Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
1343,PANSARI,Pansari Developers Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
1344,PAR,Par Drugs And Chemicals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
1345,PARACABLES,Paramount Communications Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals
1346,PARADEEP,Paradeep Phosphates Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
1347,PARAGMILK,Parag Milk Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
1348,PARAS,Paras Defence and Space Technologies Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
1349,PARASPETRO,Paras Petrofils Limited,Financial Services,Financial Services,Finance,Investment Company
1350,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
1351,PARSVNATH,Parsvnath Developers Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
