,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
49,ADROITINFO,Adroit Infotech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
50,ADSL,Allied Digital Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
51,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
52,ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
53,AEGISLOG,Aegis Logistics Limited,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas
54,AEROFLEX,Aeroflex Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
55,AETHER,Aether Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
56,AFCONS,Afcons Infrastructure Limited,Industrials,Construction,Construction,Civil Construction
57,AFFLE,Affle (India) Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
58,AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
59,AFIL,Akme Fintrade (India) Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
60,AGARIND,Agarwal Industrial Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
61,AGI,AGI Greenpac Limited,Industrials,Capital Goods,Industrial Products,Packaging
62,AGIIL,Agi Infra Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
63,AGRITECH,Agri-Tech (India) Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
64,AGROPHOS,Agro Phos India Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
65,AGSTRA,AGS Transact Technologies Limited,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
66,AHL,Abans Holdings Limited,Financial Services,Financial Services,Finance,Holding Company
67,AHLADA,Ahlada Engineers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing
68,AHLEAST,Asian Hotels (East) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
69,AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Construction,Construction,Civil Construction
70,AIAENG,AIA Engineering Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
71,AIIL,Authum Investment & Infrastructure Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
72,AIRAN,Airan Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
73,AIROLAM,Airo Lam limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
74,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
75,AJMERA,Ajmera Realty & Infra India Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
76,AJOONI,Ajooni Biotech Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
77,AKASH,Akash Infra-Projects Limited,Industrials,Construction,Construction,Civil Construction
78,AKG,Akg Exim Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
79,AKI,AKI India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
