date,symbol,open,high,low,close,volume
2014-04-01,STYRENIX,340.75576514037556,348.03611238933615,314.65305671117534,327.7576904296875,138543
2014-05-01,STYRENIX,330.5191546185136,363.1448845133068,304.4113923435018,350.5744934082031,163876
2014-06-01,STYRENIX,354.5497251418944,440.50117366114154,347.5303655895894,420.9830322265625,207197
2014-07-01,STYRENIX,435.48725910597454,457.69137922486465,369.26883407249767,391.5087585449219,137327
2014-08-01,STYRENIX,388.3931712778274,440.07150560691986,383.9165326047312,429.5782470703125,138347
2014-09-01,STYRENIX,438.88958837961945,461.98904039959945,406.1564026652375,414.6441345214844,373816
2014-10-01,STYRENIX,421.77096732292796,474.1655632913068,393.98000347466683,454.1460266113281,648580
2014-11-01,STYRENIX,457.19022536761287,525.7365374236413,442.65010916595406,455.1488952636719,730757
2014-12-01,STYRENIX,458.40778411287204,502.8160381988065,421.3770215590695,463.2425537109375,453326
2015-01-01,STYRENIX,459.84028344502536,533.6152821908784,444.7987788463563,504.57086181640625,546611
2015-02-01,STYRENIX,506.3257294912031,515.5296805985565,434.77112347804626,477.531982421875,260507
2015-03-01,STYRENIX,476.314294707909,511.41113747586024,434.7710930642117,478.1049499511719,292009
2015-04-01,STYRENIX,476.3142933608883,516.5682318590318,442.64997488275037,458.19287109375,200306
2015-05-01,STYRENIX,458.19289152539085,481.75788928059154,421.7351317630784,427.9308166503906,252712
2015-06-01,STYRENIX,426.92800896736657,431.83443050228806,393.9441485461625,408.1261291503906,484089
2015-07-01,STYRENIX,408.5558337656649,547.9403917483918,408.5558337656649,532.3616943359375,642763
2015-08-01,STYRENIX,537.3785216985475,679.9351203094527,486.23391708648734,550.1646728515625,1028086
2015-09-01,STYRENIX,554.5948360762225,572.6395086742341,515.0838007417304,535.8297729492188,199578
2015-10-01,STYRENIX,540.4400298003982,606.5318295127428,528.8424672739741,572.2793579101562,196079
2015-11-01,STYRENIX,572.2793241991494,597.8876352027955,487.67461329191883,525.2046508789062,145690
2015-12-01,STYRENIX,520.1622932171514,554.6669149963708,489.8357171396521,544.365966796875,156794
2016-01-01,STYRENIX,538.855225593267,560.5376830339509,457.16795355801827,501.8654479980469,127593
2016-02-01,STYRENIX,508.9248465872702,508.9248465872702,342.164617309205,356.4635009765625,153601
2016-03-01,STYRENIX,359.4169414054555,435.0533336777814,355.99529508837406,404.07843017578125,271036
2016-04-01,STYRENIX,412.3983955602933,453.81832175193847,403.3940637795008,447.2991943359375,51793
2016-05-01,STYRENIX,446.2547410604909,489.1153659081087,409.15688930162844,427.5617370605469,288452
2016-06-01,STYRENIX,423.5638011259544,464.19136698380635,417.80102832151965,451.2251281738281,118563
2016-07-01,STYRENIX,450.9370424041209,477.589870789029,438.6911482813253,442.1488037109375,132843
2016-08-01,STYRENIX,445.17415902101226,459.5810897336664,386.50192490043565,408.97674560546875,218971
2016-09-01,STYRENIX,420.6111895473326,445.23145682241164,399.58063006996593,420.9737854003906,126619
2016-10-01,STYRENIX,426.41273784022485,475.7257755496386,416.9852453369546,470.431884765625,113867
2016-11-01,STYRENIX,471.4108753106093,477.9013501476013,396.3897819774893,429.16845703125,116815
2016-12-01,STYRENIX,445.23147944469804,445.23147944469804,409.80583624363067,426.9928894042969,33818
2017-01-01,STYRENIX,432.93945043043044,456.8707768361326,414.0844659895742,440.62646484375,98767
2017-02-01,STYRENIX,443.3822370175659,481.52730393134783,414.302022376446,440.1913757324219,161345
2017-03-01,STYRENIX,448.7123098813091,509.80970318636014,432.57679651588023,498.3516845703125,254246
2017-04-01,STYRENIX,501.83270288347785,572.9014960663982,490.95482637588805,535.1552734375,352967
2017-05-01,STYRENIX,535.155259234436,565.6495633822863,510.53499053990964,555.4243774414062,205535
2017-06-01,STYRENIX,556.6208650906397,641.7946367528152,544.6189516399596,603.5770263671875,278766
2017-07-01,STYRENIX,612.7869292285468,823.8176942054783,601.0388159340952,784.8749389648438,708498
2017-08-01,STYRENIX,777.4416888403962,790.4588426280571,582.3288537892935,653.9052734375,305717
2017-09-01,STYRENIX,647.8761678997068,703.8888410217512,606.0213505690443,649.914306640625,124216
2017-10-01,STYRENIX,649.9143598836379,786.3246978346643,641.1430541579099,717.9739379882812,347159
2017-11-01,STYRENIX,718.0830929375388,850.1987354800257,657.339004877427,824.1395263671875,484776
2017-12-01,STYRENIX,835.6405572525351,848.0150254348462,730.2756002296218,776.0247192382812,244584
2018-01-01,STYRENIX,783.7770727320801,855.2942284283205,707.8196839190687,712.44189453125,319882
2018-02-01,STYRENIX,715.8266053685367,727.1455953004264,619.4513179228203,685.9822998046875,115755
