,symbol,name of company,macro sector,sector,industry,basic industry,market cap
899,JBMA,JBM Auto Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,16081.61
715,HBLENGINE,HBL Engineering Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,14275.54
1305,OLECTRA,Olectra Greentech Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,10702.92
1822,TATAMOTORS,Tata Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,269421.53
1304,OLAELEC,Ola Electric Mobility Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,28824.77
780,HYUNDAI,Hyundai Motor India Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,132200.44
1903,TVSMOTOR,TVS Motor Company Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,111645.47
583,FORCEMOT,FORCE MOTORS LTD,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,8341.06
1033,LANDMARK,Landmark Cars Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer,2159.15
1441,PVSL,Popular Vehicles and Services Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer,1032.23
1126,MARUTI,Maruti Suzuki India Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,380332.79
