,symbol,name of company,macro sector,sector,industry,basic industry,market cap
500,ECLERX,eClerx Services Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),14199.81
1884,TRACXN,Tracxn Technologies Limited,Services,Services,Commercial Services & Supplies,Data Processing Services,712.8
1248,NESCO,Nesco Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,6707.79
1810,TARACHAND,Tara Chand InfraLogistic Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,398.78
1173,MMTC,MMTC Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,9750.0
549,EXCEL,Excel Realty N Infra Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,115.68
729,HEMIPROP,Hemisphere Properties India Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,3987.15
586,FSL,Firstsource Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),22596.44
1666,SHYAMTEL,Shyam Telecom Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,16.8
1198,MSTCLTD,Mstc Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,3952.96
1670,SIGIND,Signet Industries Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,164.85
1844,TEXINFRA,Texmaco Infrastructure & Holdings Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,1585.82
739,HGS,Hinduja Global Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),2823.32
580,FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,108.07
1686,SIS,SIS LIMITED,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,4445.85
664,GOYALALUM,Goyal Aluminiums Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,127.17
1836,TEAMLEASE,Teamlease Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,4230.79
1742,STCINDIA,The State Trading Corporation of India Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,798.0
1191,MOTOGENFIN,The Motor & General Finance Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,101.5
1020,KRYSTAL,Krystal Integrated Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,782.43
456,DHRUV,Dhruv Consultancy Services Limited,Services,Services,Commercial Services & Supplies,Consulting Services,271.18
1531,RPSGVENT,RPSG VENTURES LIMITED,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),3045.6
2023,WEWIN,WE WIN LIMITED,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,69.79
114,ANIKINDS,Anik Industries Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,260.33
1331,OSWALAGRO,Oswal Agro Mills Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,772.79
1436,PTL,PTL Enterprises Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,497.21
387,CORALFINAC,Coral India Finance & Housing Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,176.73
1450,RADIANTCMS,Radiant Cash Management Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,714.62
1912,UDS,Updater Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,2236.08
1541,RUCHINFRA,Ruchi Infrastructure Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,247.83
29,ABMINTLLTD,ABM International Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,58.33
78,AKG,Akg Exim Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,55.77
1978,VIKASLIFE,Vikas Lifecare Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,670.62
1919,UMAEXPORTS,Uma Exports Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,353.38
1495,RELTD,Ravindra Energy Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,1999.81
1485,REDINGTON,Redington Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,15784.03
36,ACEINTEG,Ace Integrated Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,26.32
199,AWFIS,Awfis Space Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,4426.75
9,AAATECH,AAA Technologies Limited,Services,Services,Commercial Services & Supplies,Consulting Services,118.13
20,AARVI,Aarvi Encon Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,183.19
393,CREATIVE,Creative Newtech Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,1193.31
374,CMSINFO,CMS Info Systems Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,6929.63
85,ALANKIT,Alankit Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,490.53
2041,YAARI,Yaari Digital Integrated Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,135.5
94,ALLDIGI,Alldigi Tech Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1416.78
1566,SAKUMA,Sakuma Exports Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,553.4
1444,QUESS,Quess Corp Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,8639.48
1981,VINCOFE,Vintage Coffee And Beverages Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,1339.43
876,ISGEC,Isgec Heavy Engineering Limited,Industrials,Construction,Construction,Civil Construction,7911.78
968,KEC,KEC International Limited,Industrials,Construction,Construction,Civil Construction,20763.6
995,KNRCON,KNR Constructions Limited,Industrials,Construction,Construction,Civil Construction,8055.97
1231,NAVKARURB,Navkar Urbanstructure Limited,Industrials,Construction,Construction,Civil Construction,437.62
1942,USK,Udayshivakumar Infra Limited,Industrials,Construction,Construction,Civil Construction,271.97
1234,NBCC,NBCC (India) Limited,Industrials,Construction,Construction,Civil Construction,23557.5
235,BANKA,Banka BioLoo Limited,Industrials,Construction,Construction,Civil Construction,95.47
1620,SEMAC,SEMAC CONSULTANTS LIMITED,Industrials,Construction,Construction,Civil Construction,85.21
1269,NIRAJ,Niraj Cement Structurals Limited,Industrials,Construction,Construction,Civil Construction,240.93
1800,SWSOLAR,Sterling and Wilson Renewable Energy Limited,Industrials,Construction,Construction,Civil Construction,7278.02
738,HGINFRA,H.G. Infra Engineering Limited,Industrials,Construction,Construction,Civil Construction,7885.7
1112,MANINFRA,Man Infraconstruction Limited,Industrials,Construction,Construction,Civil Construction,7063.7
679,GRINFRA,G R Infraprojects Limited,Industrials,Construction,Construction,Civil Construction,12092.54
1814,TARMAT,Tarmat Limited,Industrials,Construction,Construction,Civil Construction,168.34
857,INTERARCH,Interarch Building Products Limited,Industrials,Construction,Construction,Civil Construction,2692.42
1511,RITES,RITES Limited,Industrials,Construction,Construction,Civil Construction,11943.0
1623,SEPC,SEPC Limited,Industrials,Construction,Construction,Civil Construction,2572.22
69,AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Construction,Construction,Civil Construction,5212.64
1083,MADHUCON,Madhucon Projects Limited,Industrials,Construction,Construction,Civil Construction,60.81
1529,RPPINFRA,R.P.P. Infra Projects Limited,Industrials,Construction,Construction,Civil Construction,628.38
606,GAYAPROJ,Gayatri Projects Limited,Industrials,Construction,Construction,Civil Construction,134.78
287,BLKASHYAP,B. L. Kashyap and Sons Limited,Industrials,Construction,Construction,Civil Construction,1436.28
866,IRB,IRB Infrastructure Developers Limited,Industrials,Construction,Construction,Civil Construction,30376.17
1731,SRM,SRM Contractors Limited,Industrials,Construction,Construction,Civil Construction,798.46
867,IRCON,Ircon International Limited,Industrials,Construction,Construction,Civil Construction,17680.76
1957,VASCONEQ,Vascon Engineers Limited,Industrials,Construction,Construction,Civil Construction,1087.31
1547,RVNL,Rail Vikas Nigam Limited,Industrials,Construction,Construction,Civil Construction,85152.22
1405,POWERMECH,Power Mech Projects Limited,Industrials,Construction,Construction,Civil Construction,6813.79
1628,SETUINFRA,Setubandhan Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,7.29
1681,SIMPLEXINF,Simplex Infrastructures Limited,Industrials,Construction,Construction,Civil Construction,1542.86
1236,NCC,NCC Limited,Industrials,Construction,Construction,Civil Construction,14098.3
262,BGRENERGY,BGR Energy Systems Limited,Industrials,Construction,Construction,Civil Construction,1004.85
726,HECPROJECT,HEC Infra Projects Limited,Industrials,Construction,Construction,Civil Construction,118.01
1513,RKEC,RKEC Projects Limited,Industrials,Construction,Construction,Civil Construction,197.42
1776,SUPREMEINF,Supreme Infrastructure India Limited,Industrials,Construction,Construction,Civil Construction,263.28
1066,LT,Larsen & Toubro Limited,Industrials,Construction,Construction,Civil Construction,470769.1
2000,VPRPL,Vishnu Prakash R Punglia Limited,Industrials,Construction,Construction,Civil Construction,2873.04
717,HCC,Hindustan Construction Company Limited,Industrials,Construction,Construction,Civil Construction,5358.08
1838,TECHNOE,Techno Electric & Engineering Company Limited,Industrials,Construction,Construction,Civil Construction,12013.75
28,ABINFRA,A B Infrabuild Limited,Industrials,Construction,Construction,Civil Construction,445.66
602,GARUDA,Garuda Construction and Engineering Limited,Industrials,Construction,Construction,Civil Construction,1149.07
422,DBL,Dilip Buildcon Limited,Industrials,Construction,Construction,Civil Construction,5594.18
1141,MBLINFRA,MBL Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,634.7
1724,SPMLINFRA,SPML Infra Limited,Industrials,Construction,Construction,Civil Construction,1292.05
1433,PSPPROJECT,PSP Projects Limited,Industrials,Construction,Construction,Civil Construction,2489.9
1006,KPIL,Kalpataru Projects International Limited,Industrials,Construction,Construction,Civil Construction,17418.8
1140,MBECL,Mcnally Bharat Engineering Company Limited,Industrials,Construction,Construction,Civil Construction,61.29
2035,WSI,W S Industries (I) Limited,Industrials,Construction,Construction,Civil Construction,608.48
421,DBEIL,Deepak Builders & Engineers India Limited,Industrials,Construction,Construction,Civil Construction,749.91
2057,ZODIAC,Zodiac Energy Limited,Industrials,Construction,Construction,Civil Construction,531.46
1011,KRIDHANINF,Kridhan Infra Limited,Industrials,Construction,Construction,Civil Construction,44.07
324,CAPACITE,Capacit'e Infraprojects Limited,Industrials,Construction,Construction,Civil Construction,2893.46
1934,UNIVASTU,Univastu India Limited,Industrials,Construction,Construction,Civil Construction,312.53
1553,SADBHIN,Sadbhav Infrastructure Project Limited,Industrials,Construction,Construction,Civil Construction,190.91
8,A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Construction,Construction,Civil Construction,330.93
2018,WELENT,Welspun Enterprises Limited,Industrials,Construction,Construction,Civil Construction,8304.83
1308,OMINFRAL,OM INFRA LIMITED,Industrials,Construction,Construction,Civil Construction,1360.58
1552,SADBHAV,Sadbhav Engineering Limited,Industrials,Construction,Construction,Civil Construction,303.68
340,CEIGALL,Ceigall India Limited,Industrials,Construction,Construction,Civil Construction,5065.88
1882,TPHQ,Teamo Productions HQ Limited,Industrials,Construction,Construction,Civil Construction,197.32
1051,LIKHITHA,Likhitha Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,1216.84
807,IL&FSENGG,IL&FS Engineering and Construction Company Limited,Industrials,Construction,Construction,Civil Construction,485.15
1353,PATELENG,Patel Engineering Limited,Industrials,Construction,Construction,Civil Construction,3943.24
1832,TCLCONS,Tantia Constructions Limited,Industrials,Construction,Construction,Civil Construction,759.5
879,ITDCEM,ITD Cementation India Limited,Industrials,Construction,Construction,Civil Construction,8841.91
305,BRNL,Bharat Road Network Limited,Industrials,Construction,Construction,Civil Construction,341.76
77,AKASH,Akash Infra-Projects Limited,Industrials,Construction,Construction,Civil Construction,50.82
668,GPTINFRA,GPT Infraprojects Limited,Industrials,Construction,Construction,Civil Construction,1358.8
1392,PNCINFRA,PNC Infratech Limited,Industrials,Construction,Construction,Civil Construction,7643.58
529,ENGINERSIN,Engineers India Limited,Industrials,Construction,Construction,Civil Construction,8880.27
56,AFCONS,Afcons Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,16918.09
915,JKIL,J.Kumar Infraprojects Limited,Industrials,Construction,Construction,Civil Construction,5198.22
1469,RAMKY,Ramky Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,3446.05
808,IL&FSTRANS,IL&FS Transportation Networks Limited,Industrials,Construction,Construction,Civil Construction,150.66
158,ASHOKA,Ashoka Buildcon Limited,Industrials,Construction,Construction,Civil Construction,6793.5
701,GVKPIL,GVK Power & Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,732.75
115,ANMOL,Anmol India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,125.21
1487,REFEX,Refex Industries Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,5993.28
375,COALINDIA,Coal India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Coal,229068.61
1579,SANDUMA,Sandur Manganese & Iron Ores Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Coal,6252.12
660,GOLDIAM,Goldiam International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,4586.85
956,KANSAINER,Kansai Nerolac Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,18738.95
313,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,1129.99
1213,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,1137.66
133,ARCHIDPLY,Archidply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,192.67
67,AHLADA,Ahlada Engineers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,111.38
674,GREENLAM,Greenlam Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,7237.26
949,KALYANKJIL,Kalyan Jewellers India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,45125.3
294,BLUESTARCO,Blue Star Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,36231.38
134,ARCHIES,Archies Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products,68.17
686,GSLSU,Global Surfaces Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,545.88
953,KANANIIND,Kanani Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,50.06
1209,MURUDCERA,Murudeshwar Ceramics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,257.38
952,KAMOPAINTS,Kamdhenu Ventures Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,464.3
302,BPL,BPL Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,457.92
676,GREENPLY,Greenply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,3312.89
675,GREENPANEL,Greenpanel Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,4169.33
1393,PNGJL,P N Gadgil Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,7151.83
1396,POKARNA,Pokarna Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,3225.04
297,BOROLTD,Borosil Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer,4442.3
243,BATAINDIA,Bata India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,15948.34
1949,VAIBHAVGBL,Vaibhav Global Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,4321.52
73,AIROLAM,Airo Lam limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,174.32
1488,REGENCERAM,Regency Ceramics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,140.93
1154,METROBRAND,Metro Brands Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,31844.54
1486,REDTAPE,Redtape Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,9605.03
825,INDIGOPNTS,Indigo Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,5713.54
1694,SKYGOLD,Sky Gold Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,4448.22
212,BAJAJELEC,Bajaj Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,7831.22
79,AKI,AKI India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,87.56
1136,MAYURUNIQ,Mayur Uniquoters Ltd,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,2289.52
1971,VGUARD,V-Guard Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,15249.04
197,AVROIND,AVRO INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,226.32
1449,RADHIKAJWE,Radhika Jeweltech Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,1227.2
795,IFBIND,IFB Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,6450.59
163,ASIANPAINT,Asian Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,214764.39
180,ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,105.88
1987,VIPIND,VIP Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,5212.11
1676,SILGO,Silgo Retail Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,51.85
1077,LYPSAGEMS,Lypsa Gems & Jewellery Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,18.75
805,IKIO,IKIO Lighting Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,1606.67
84,AKZOINDIA,Akzo Nobel India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,16601.27
187,AUSOMENT,Ausom Enterprise Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,128.13
944,KAJARIACER,Kajaria Ceramics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,15752.03
1166,MIRCELECTR,MIRC Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,478.07
1167,MIRZAINT,Mirza International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,444.32
1771,SUPERHOUSE,Superhouse Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,210.58
276,BIL,Bhartiya International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,818.03
1190,MOTISONS,Motisons Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,2019.13
707,HARDWYN,Hardwyn India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,755.61
2030,WIPL,The Western India Plywoods Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,178.23
713,HAVELLS,Havells India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,93495.82
142,AROGRANITE,Aro Granite Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,65.18
1180,MOKSH,Moksh Ornaments Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,138.46
1456,RAJESHEXPO,Rajesh Exports Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,5530.51
753,HINDWAREAP,Hindware Home Innovation Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware,1960.67
258,BERGEPAINT,Berger Paints (I) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,55376.98
1999,VOLTAS,Voltas Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,47354.57
1489,RELAXO,Relaxo Footwears Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,13315.72
1801,SYMPHONY,Symphony Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,8587.36
741,HIL,HIL Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,1524.77
1425,PRITI,Priti International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,162.84
1555,SAFARI,Safari Industries (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,11375.53
1323,ORIENTELEC,Orient Electric Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,4748.88
230,BANARBEADS,Banaras Beads Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,87.47
1970,VETO,Veto Switchgears And Cables Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,218.29
1482,RBZJEWEL,RBZ Jewellers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,661.2
1749,STOVEKRAFT,Stove Kraft Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,2674.03
1544,RUSHIL,Rushil Decor Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,752.98
1750,STYLAMIND,Stylam Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,3042.18
1358,PCJEWELLER,PC Jeweller Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,6556.39
1266,NILKAMAL,Nilkamal Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,2521.91
1621,SENCO,Senco Gold Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,6931.12
1361,PEARLPOLY,Pearl Polymers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,55.39
1034,LAOPALA,La Opala RG Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer,2954.26
1710,SONAMLTD,SONAM LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,215.49
900,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,4541.42
1371,PGEL,PG Electroplast Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,18075.53
581,FOCUS,Focus Lighting and Fixtures Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,624.31
1685,SIRCA,Sirca Paints India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,1625.63
1043,LEXUS,Lexus Granito (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,86.82
1629,SFL,Sheela Foam Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,9695.8
979,KHAITANLTD,Khaitan (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,48.11
1850,THANGAMAYL,Thangamayil Jewellery Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,4616.09
977,KHADIM,Khadim India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,572.85
2025,WHIRLPOOL,Whirlpool of India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,19864.96
554,EXXARO,Exxaro Tiles Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,422.8
1270,NIRAJISPAT,Niraj Ispat Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,14.54
545,EUREKAFORB,Eureka Forbes Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,9901.63
1320,ORIENTBELL,Orient Bell Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,407.27
1319,ORIENTALTL,Oriental Trimex Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,69.83
470,DIXON,Dixon Technologies (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,87765.86
1898,TTKPRESTIG,TTK Prestige Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,9880.94
483,DPABHUSHAN,D. P. Abhushan Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,3646.92
100,AMBER,Amber Enterprises India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,22408.07
2016,WEL,Wonder Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,2237.8
47,ADL,Archidply Decor Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,47.54
517,ELIN,Elin Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,718.57
1871,TITAN,Titan Company Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,295619.47
532,EPACK,EPACK Durable Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,4219.7
2051,ZENITHEXPO,Zenith Exports Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,143.54
1727,SREEL,Sreeleathers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,601.57
398,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,22112.78
1271,NITCO,Nitco Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,960.32
544,ETHOSLTD,Ethos Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,5629.77
1876,TOKYOPLAST,Tokyo Plast International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,108.21
1082,MADHAV,Madhav Marbles and Granites Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,43.8
164,ASIANTILES,Asian Granito India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,793.68
967,KDDL,KDDL Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,2784.5
1046,LGHL,Laxmi Goldorna House Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,1127.08
342,CELLO,Cello World Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,14247.08
1048,LIBERTSHOE,Liberty Shoes Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,638.15
348,CENTURYPLY,Century Plyboards (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,17281.73
1706,SOMANYCERA,Somany Ceramics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,1960.99
333,CARYSIL,CARYSIL LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,1929.42
1638,SHALPAINTS,Shalimar Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,1043.88
1380,PILITA,PIL ITALICA LIFESTYLE LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,364.25
1503,RGL,Renaissance Global Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,1559.75
1501,RESPONIND,Responsive Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,6371.94
