,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
70,70,2015-11-01,3MINDIA,11386.23826971182,11646.603955458342,10389.942421112037,10866.1240234375,16424,90.07163677457089
71,71,2015-12-01,3MINDIA,10964.09319825879,10977.66254025786,9825.469362663644,10814.6015625,28088,89.14003696455826
72,72,2016-01-01,3MINDIA,10814.032172130348,10869.112912566916,8979.377335882407,9375.7607421875,12889,67.99088841678825
73,73,2016-02-01,3MINDIA,9346.20411271524,11540.807071411691,9028.33828756198,9851.13671875,39100,70.48265063756503
74,74,2016-03-01,3MINDIA,9962.91135015202,10461.10653786362,9870.35090574533,10176.4033203125,20263,72.08395466644696
75,75,2016-04-01,3MINDIA,10110.077795414196,13680.51776359499,9869.211788576038,12642.376953125,64119,80.65315413691104
76,76,2016-05-01,3MINDIA,12668.139177309353,12942.357754362936,11551.386209068758,11780.1552734375,28311,72.29673465146865
77,77,2016-06-01,3MINDIA,11787.50903201562,12287.696450742143,11291.353312857786,12167.4765625,15616,73.61902501346054
78,78,2016-07-01,3MINDIA,12145.321211912316,14470.011600129908,12145.321211912316,13871.90234375,27540,78.48553693897252
79,79,2016-08-01,3MINDIA,13976.607828133248,14043.027553046302,12200.401870653255,12221.98828125,30817,65.82662322089618
80,80,2016-09-01,3MINDIA,12151.013655153742,12809.517752973255,11955.549902775036,12224.9296875,25702,65.83720207452693
81,81,2016-10-01,3MINDIA,12224.92976762819,12828.494900395244,12224.92976762819,12352.455078125,13133,66.32394346482178
82,82,2016-11-01,3MINDIA,12686.168221123056,12686.168221123056,10412.715785983874,10715.8271484375,21594,55.41232445350857
83,83,2016-12-01,3MINDIA,10613.87269454561,10816.880037297267,9496.88243806062,10554.189453125,21824,54.45937712314636
84,84,2017-01-01,3MINDIA,10627.062212267509,12183.276104824376,10228.638349689005,11345.9130859375,15958,58.246993014795734
85,85,2017-02-01,3MINDIA,11396.248440953106,11481.170801049164,10437.38503973889,10593.755859375,16582,53.679332892731644
86,86,2017-03-01,3MINDIA,10702.353019914191,11386.238999842211,10157.474041109244,10975.9072265625,28329,55.58506045296221
87,87,2017-04-01,3MINDIA,11158.513646712769,11605.423504502029,10816.926494262376,10911.52734375,25018,55.17323432144211
88,88,2017-05-01,3MINDIA,10911.528341213483,13748.884142964987,10688.832289199489,13127.5751953125,121377,64.83192138031217
89,89,2017-06-01,3MINDIA,13258.279257824248,14231.849953549372,12259.184038926454,12559.49609375,27490,61.19201821816617
90,90,2017-07-01,3MINDIA,12714.539137423268,13321.899736979798,12479.318044213554,12693.99609375,20132,61.739723831987284
91,91,2017-08-01,3MINDIA,12690.912024989848,14137.913209147568,12287.649399896713,13989.7021484375,35733,66.62624805035917
92,92,2017-09-01,3MINDIA,14024.050463808107,14024.050463808107,13283.9449589522,13569.9296875,23844,63.784038422077174
93,93,2017-10-01,3MINDIA,13569.92986790153,13985.242182740736,13284.039650228397,13464.51171875,16540,63.05654958215307
94,94,2017-11-01,3MINDIA,13602.570245593675,16106.783930077769,13521.15882200932,14651.3857421875,37473,67.54476547101068
95,95,2017-12-01,3MINDIA,14735.690856554784,19071.95017493568,14327.683962265111,18148.193359375,49417,76.5745295495486
96,96,2018-01-01,3MINDIA,17934.273994872412,18967.57511017933,16653.32219903739,17834.787109375,52918,74.57195910871184
97,97,2018-02-01,3MINDIA,18023.46637634484,21547.79252756836,16847.41102918361,19657.771484375,90960,78.15120071950226
98,98,2018-03-01,3MINDIA,19764.944784801035,20561.88699444905,17791.09282553879,18419.9453125,33008,70.85784413821088
99,99,2018-04-01,3MINDIA,18407.990979164264,20054.9148879434,18407.990979164264,19474.359375,29899,73.1559793080806
100,100,2018-05-01,3MINDIA,19474.35841441441,19954.38363922492,18216.747959345,18544.0078125,49195,68.05630059460142
101,101,2018-06-01,3MINDIA,18597.524476101764,19259.82407224049,17317.521388435373,18632.7265625,32785,68.28335671416865
102,102,2018-07-01,3MINDIA,18385.644518838864,23542.947467543887,18349.06733701224,22222.998046875,51654,75.7846389829254
103,103,2018-08-01,3MINDIA,22299.04707388063,25105.895664326097,22032.37114268164,24617.99609375,102267,79.30146203711539
104,104,2018-09-01,3MINDIA,24717.53177999781,25298.324463285608,20970.604941980167,21413.767578125,39997,65.57912222439818
105,105,2018-10-01,3MINDIA,21349.197666260345,22582.70686475539,18042.44416106402,18827.857421875,47051,57.00594572699009
106,106,2018-11-01,3MINDIA,18711.385200234585,20591.063399101964,18312.86685418496,20527.490234375,22475,60.64740839717806
107,107,2018-12-01,3MINDIA,20571.137250444168,22577.961756195524,18639.27214703529,19759.298828125,76220,58.246177556883005
108,108,2019-01-01,3MINDIA,19788.285697149306,20092.91576438324,18788.811529619183,19120.91015625,43004,56.252903475700045
109,109,2019-02-01,3MINDIA,19128.88016596604,23246.90297947262,19128.88016596604,21725.1796875,55802,61.97041006444242
110,110,2019-03-01,3MINDIA,21917.22980652964,23816.216914870965,21754.35877319708,23019.986328125,147308,64.4575941628214
111,111,2019-04-01,3MINDIA,23028.66753077701,24138.77760850614,21505.75812052167,21754.072265625,62256,60.30496321426588
112,112,2019-05-01,3MINDIA,21754.07233684046,23014.3866239393,20789.3740111692,21578.630859375,38848,59.730636593522014
113,113,2019-06-01,3MINDIA,21556.9011960871,22753.35688956308,20874.7702643926,22028.38671875,26731,60.76230189733555
114,114,2019-07-01,3MINDIA,22022.880621286924,22298.0480224146,19612.08208882097,20028.296875,28252,54.12189879885207
115,115,2019-08-01,3MINDIA,20127.025084460533,20732.48976959746,19071.948552472382,19198.572265625,24915,51.60248230002635
116,116,2019-09-01,3MINDIA,19198.57331975848,19925.91749217514,15893.243149092188,19613.79296875,383506,52.78693800276264
117,117,2019-10-01,3MINDIA,19718.1203472342,22076.96964145605,18551.078976929635,21338.001953125,332838,57.44438764337148
118,118,2019-11-01,3MINDIA,21346.827438254844,21675.60511165657,20876.670621023808,21104.158203125,31500,56.62847916695137
119,119,2019-12-01,3MINDIA,21253.36406149758,21319.783789356185,19641.262381043794,20215.033203125,23707,53.51604896175224
120,120,2020-01-01,3MINDIA,20258.6787452294,22905.22113327496,19788.332967602662,21805.83203125,65900,57.96736531436929
121,121,2020-02-01,3MINDIA,21814.13593375992,23911.10158898434,19261.720724459607,19522.892578125,130929,50.49440765248194
122,122,2020-03-01,3MINDIA,19740.88985218741,23104.479765588247,14896.994505135424,17864.958984375,297664,45.86962264164239
123,123,2020-04-01,3MINDIA,18104.16753195356,18976.11545286564,16296.553972847008,18407.94140625,134291,47.56351255169345
124,124,2020-05-01,3MINDIA,18407.940712658725,18407.940712658725,15888.54649160304,17363.20703125,56608,44.6672486817412
125,125,2020-06-01,3MINDIA,17354.52550137335,18253.990175556173,16130.553023939045,17833.93359375,213606,46.25523898969286
126,126,2020-07-01,3MINDIA,17971.279594319312,20779.885064181253,17411.45620674548,19999.927734375,121620,52.9468075498372
127,127,2020-08-01,3MINDIA,20302.37554525619,21349.19788137284,19119.392769318343,19227.98828125,75602,50.53207215819483
128,128,2020-09-01,3MINDIA,19261.720622097266,19530.81502822126,17102.367877972243,17370.798828125,97229,45.19197956276476
129,129,2020-10-01,3MINDIA,17506.34230826711,18550.03269011798,17222.68337297028,17720.166015625,59585,46.340759363911324
130,130,2020-11-01,3MINDIA,17720.118997694182,21723.04527167336,17458.898969109367,20748.478515625,182371,55.12155270503338
131,131,2020-12-01,3MINDIA,20758.82127927841,22013.39423896804,19651.69862427876,19765.134765625,106076,52.138004917964864
132,132,2021-01-01,3MINDIA,19765.27624255501,20969.656389032043,17960.605582528973,18181.451171875,145317,47.663497784936034
133,133,2021-02-01,3MINDIA,18396.36569900965,22035.929332699365,17816.616398303286,21664.927734375,197233,56.50556223060984
134,134,2021-03-01,3MINDIA,21989.67362731185,29270.2244684063,21989.57911263455,28879.9140625,179480,68.40994070268985
135,135,2021-04-01,3MINDIA,28717.043031089608,29414.45015575013,23816.3106085266,24231.765625,102842,57.49265810559917
136,136,2021-05-01,3MINDIA,24195.75717910325,25808.80765771013,22948.9640444624,24230.05859375,79964,57.489029610986066
137,137,2021-06-01,3MINDIA,24385.527760461475,25285.70406922242,23038.15618770446,23087.0703125,55880,54.986632625331055
138,138,2021-07-01,3MINDIA,23114.06392061193,23731.81553692461,22682.3357151982,23399.57421875,51494,55.55624618542301
139,139,2021-08-01,3MINDIA,23601.77414296218,23689.2113346771,21420.597882162376,23143.904296875,140160,54.943662684556095
140,140,2021-09-01,3MINDIA,23143.9040499622,24670.182566948555,22773.662282114383,23562.396484375,110412,55.8027165142177
141,141,2021-10-01,3MINDIA,23531.55977036188,25191.81568601473,23246.903805397826,24101.53515625,145715,56.94170449357864
142,142,2021-11-01,3MINDIA,24216.63114856097,26378.11871836043,22722.993526817816,23753.970703125,56418,55.94084720803079
143,143,2021-12-01,3MINDIA,24005.984768262413,25238.92492578091,22544.750912802963,24063.67578125,72477,56.67166870225826
144,144,2022-01-01,3MINDIA,24146.417347195496,24641.71874043803,22582.7072014796,23711.748046875,59786,55.54420192952936
145,145,2022-02-01,3MINDIA,23711.7465121686,25564.951291963927,19261.719601635592,20123.658203125,58776,45.58632353683948
146,146,2022-03-01,3MINDIA,20123.65941585524,20381.36758506529,18383.177177297104,18689.84765625,151027,42.321202875097484
147,147,2022-04-01,3MINDIA,18701.894484853525,20684.99745153764,18673.428892030308,18943.42578125,50942,43.0974519222105
148,148,2022-05-01,3MINDIA,18793.55604187484,19830.08368247294,16389.54186551295,19160.953125,151988,43.79622652789737
149,149,2022-06-01,3MINDIA,19166.835649926885,21688.793073738067,18418.190435679742,20736.287109375,219470,48.70862110005162
150,150,2022-07-01,3MINDIA,20827.326607647305,22392.9343025274,20045.51979730461,21579.578125,57053,51.169058828210254
151,151,2022-08-01,3MINDIA,21588.30922781177,22867.36341377741,20874.819764995907,22121.896484375,123696,52.73917161303026
152,152,2022-09-01,3MINDIA,22287.61314095904,23579.00236505735,21396.78267174832,23347.767578125,114080,56.169878469458666
